3409 3409      #   type=2000 audit(0.0:1): initialized
3409 3409  auditd type=2000 audit(0.0:1): initialized 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=1401 hi=1409, peripheral[2] pid=-1(kworker/u8:0) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=140a hi=140c, peripheral[2] pid=-1(kworker/u8:0) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=140d hi=140e, peripheral[2] pid=-1(kworker/u8:0) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=1419 hi=1419, peripheral[2] pid=-1(kworker/u8:0) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=141a hi=141a, peripheral[2] pid=-1(kworker/u8:0) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=1420 hi=1420, peripheral[2] pid=-1(kworker/u8:0) 
0 0   @ diag_cmd_add_reg, registering cmd=80 subsys_id=12 lo=1410 hi=1410, peripheral[2] pid=-1(kworker/u8:0) 
0 0   @ diag_cmd_add_reg, registering cmd=80 subsys_id=12 lo=1418 hi=1418, peripheral[2] pid=-1(kworker/u8:0) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=5a lo=331 hi=331, peripheral[2] pid=-1(kworker/u8:0) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=4d lo=600 hi=60d, peripheral[2] pid=-1(kworker/u8:0) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=32 lo=00 hi=00, peripheral[2] pid=-1(kworker/u8:0) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=32 lo=01 hi=01, peripheral[2] pid=-1(kworker/u8:0) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=32 lo=02 hi=02, peripheral[2] pid=-1(kworker/u8:0) 
0 0  wcnss NV bin size: 31719, total_fragments: 11 
0 0  wcnss no space available for smd frame 
0 0  ueventd loading /devices/platform/soc/a000000.qcom,wcnss-wlan/firmware/wlan!prima!WCNSS_qcom_wlan_nv.bin took 4ms 
0 0  wcnss no space available for smd frame 
0 0  
0 0  wcnss no space available for smd frame 
0 0   msm_qti_pp_get_rms_value_control, back not active to query rms be_idx:3 
0 0  msm_voice_sound_focus_get Error getting Sound Focus Params, err=-22 
0 0  msm_voice_source_tracking_get Error getting Source Tracking Params, err=-22 
0 0  msm_audio_get_copp_idx_from_port_id Invalid FE, exiting 
0 0  msm_audio_sound_focus_get Could not get copp idx for port_id=16385 
0 0  msm_audio_get_copp_idx_from_port_id Invalid FE, exiting 
0 0  msm_audio_source_tracking_get Could not get copp idx for port_id=16385 
0 0  msm_voice_sound_focus_get Error getting Sound Focus Params, err=-22 
0 0  msm_voice_source_tracking_get Error getting Source Tracking Params, err=-22 
0 0  msm_audio_get_copp_idx_from_port_id Invalid FE, exiting 
0 0  msm_audio_sound_focus_get Could not get copp idx for port_id=4101 
0 0  msm_audio_get_copp_idx_from_port_id Invalid FE, exiting 
0 0  msm_audio_source_tracking_get Could not get copp idx for port_id=4101 
0 0  msm_voice_sound_focus_get Error getting Sound Focus Params, err=-22 
0 0  msm_voice_source_tracking_get Error getting Source Tracking Params, err=-22 
0 0  msm_audio_get_copp_idx_from_port_id Invalid FE, exiting 
0 0  msm_audio_sound_focus_get Could not get copp idx for port_id=4149 
0 0  msm_audio_get_copp_idx_from_port_id Invalid FE, exiting 
0 0  msm_audio_source_tracking_get Could not get copp idx for port_id=4149 
0 0  msm_audio_get_copp_idx_from_port_id Invalid FE, exiting 
0 0  msm_audio_sound_focus_get Could not get copp idx for port_id=36865 
0 0  msm_audio_get_copp_idx_from_port_id Invalid FE, exiting 
0 0  msm_audio_source_tracking_get Could not get copp idx for port_id=36865 
0 0  core_get_license_status cmdrsp_license_result.result = 0x15 for module 0x131ff 
0 0   msm_pcm_volume_ctl_get substream runtime not found 
0 0   msm_pcm_volume_ctl_get substream runtime not found 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0   msm_pcm_volume_ctl_get substream runtime not found 
0 0   msm_pcm_volume_ctl_get substream runtime not found 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0   msm_pcm_volume_ctl_get substream runtime not found 
0 0   msm_pcm_volume_ctl_get substream not found 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0  msm_compr_audio_effects_config_get stream or effects inactive 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0   msm_pcm_volume_ctl_get substream runtime not found 
0 0   msm_pcm_volume_ctl_get substream runtime not found 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0   msm_pcm_volume_ctl_get substream runtime not found 
0 0   msm_pcm_volume_ctl_get substream runtime not found 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0   msm_pcm_volume_ctl_get substream or runtime not found 
0 0  msm_compr_audio_effects_config_get stream or effects inactive 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0   msm_pcm_volume_ctl_get substream runtime not found 
0 0   msm_pcm_volume_ctl_get substream not found 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0  msm_compr_audio_effects_config_get stream or effects inactive 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0  msm_compr_audio_effects_config_get stream or effects inactive 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0  msm_compr_audio_effects_config_get stream or effects inactive 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0  msm_compr_audio_effects_config_get stream or effects inactive 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0  msm_compr_audio_effects_config_get stream or effects inactive 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0   msm_pcm_volume_ctl_get substream runtime not found 
0 0   msm_pcm_volume_ctl_get substream not found 
0 0   msm_pcm_volume_ctl_get substream or runtime not found 
0 0  msm_compr_audio_effects_config_get stream or effects inactive 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0  msm_compr_audio_effects_config_get stream or effects inactive 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0  msm_compr_audio_effects_config_get stream or effects inactive 
0 0  msm_adsp_stream_callback_get ASM Stream PP event queue is not initialized. 
0 0  msm_spk_rec_ext_pa_get pUcontrol = 0 
497 497          type=1400 audit(0.0:26): avc: denied { read } for comm="audio@2.0-servi" name="class" dev="sysfs" ino=10 scontext=u:r:hal_audio_default:s0 tcontext=u:object_r:sysfs:s0 tclass=dir permissive=0
497 497  audio@2.0-servi type=1400 audit(0.0:26): avc: denied { read } for name="class" dev="sysfs" ino=10 scontext=u:r:hal_audio_default:s0 tcontext=u:object_r:sysfs:s0 tclass=dir permissive=0 
497 497          type=1400 audit(0.0:26): avc: denied { read } for comm="audio@2.0-servi" name="class" dev="sysfs" ino=10 scontext=u:r:hal_audio_default:s0 tcontext=u:object_r:sysfs:s0 tclass=dir permissive=0
497 497  audio@2.0-servi type=1400 audit(0.0:26): avc: denied { read } for name="class" dev="sysfs" ino=10 scontext=u:r:hal_audio_default:s0 tcontext=u:object_r:sysfs:s0 tclass=dir permissive=0 
0 0  wcdcal_hwdep_ioctl_shared codec didn't set this 0!! 
0 0  wcdcal_hwdep_ioctl_shared codec didn't set this 3!! 
0 0  wcdcal_hwdep_ioctl_shared codec didn't set this 4!! 
0 0  wcdcal_hwdep_ioctl_shared codec didn't set this 5!! 
0 0  qpnp_adc_tm_channel_measure not a valid ADC_TM channel 
0 0  wcnss wcnss_setup_vbat_monitoring: tm setup failed: -22 
0 0  init Received control message 'interface_start' for 'android.frameworks.sensorservice@1.0::ISensorManager/default' from pid: 400 (/system/bin/hwservicemanager) 
0 0  init Could not find service hosting interface android.frameworks.sensorservice@1.0::ISensorManager/default 
1214 1214          type=1400 audit(0.0:27): avc: denied { read } for comm="system_server" name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=5788 scontext=u:r:system_server:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0
1214 1214  system_server type=1400 audit(0.0:27): avc: denied { read } for name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=5788 scontext=u:r:system_server:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0 
0 0  init Received control message 'interface_start' for 'android.frameworks.sensorservice@1.0::ISensorManager/default' from pid: 400 (/system/bin/hwservicemanager) 
0 0  init Could not find service hosting interface android.frameworks.sensorservice@1.0::ISensorManager/default 
0 0   arb_monitor_work start 
0 0   arb_monitor_work | ibus_current = 500702 uA 
0 0   arb_monitor_work | vbus_voltage = 4870576 uA 
0 0  init starting service 'vendor.ims_rtp_daemon'... 
0 0  init Received control message 'interface_start' for 'android.frameworks.sensorservice@1.0::ISensorManager/default' from pid: 400 (/system/bin/hwservicemanager) 
0 0  init Could not find service hosting interface android.frameworks.sensorservice@1.0::ISensorManager/default 
1214 1214          type=1400 audit(0.0:30): avc: denied { read } for comm="system_server" name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=5788 scontext=u:r:system_server:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0 duplicate messages suppressed
1214 1214  system_server type=1400 audit(0.0:30): avc: denied { read } for name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=5788 scontext=u:r:system_server:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0 duplicate messages suppressed 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_dc_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_batt_health: BATTERY_CHARGER_STATUS_2 = 0x08 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  healthd battery l=68 v=4006 t=28.9 h=2 st=2 c=52 fc=4961000 cc=4 chg=u 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_dc_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_batt_health: BATTERY_CHARGER_STATUS_2 = 0x08 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  healthd battery l=68 v=3998 t=28.9 h=2 st=2 c=164 fc=4961000 cc=4 chg=u 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_dc_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_batt_health: BATTERY_CHARGER_STATUS_2 = 0x08 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  healthd battery l=68 v=3998 t=28.9 h=2 st=2 c=164 fc=4961000 cc=4 chg=u 
0 0  init Received control message 'interface_start' for 'android.frameworks.sensorservice@1.0::ISensorManager/default' from pid: 400 (/system/bin/hwservicemanager) 
0 0  init Could not find service hosting interface android.frameworks.sensorservice@1.0::ISensorManager/default 
1214 1214          type=1400 audit(0.0:31): avc: denied { read } for comm="system_server" name="hctosys" dev="sysfs" ino=32098 scontext=u:r:system_server:s0 tcontext=u:object_r:sysfs:s0 tclass=file permissive=0
1214 1214  system_server type=1400 audit(0.0:31): avc: denied { read } for name="hctosys" dev="sysfs" ino=32098 scontext=u:r:system_server:s0 tcontext=u:object_r:sysfs:s0 tclass=file permissive=0 
1214 1214          type=1400 audit(0.0:31): avc: denied { read } for comm="system_server" name="hctosys" dev="sysfs" ino=32098 scontext=u:r:system_server:s0 tcontext=u:object_r:sysfs:s0 tclass=file permissive=0
1214 1214  system_server type=1400 audit(0.0:31): avc: denied { read } for name="hctosys" dev="sysfs" ino=32098 scontext=u:r:system_server:s0 tcontext=u:object_r:sysfs:s0 tclass=file permissive=0 
0 0  init processing action (sys.sysctl.extra_free_kbytes=*) from (/init.rc:741) 
0 0   mike_zhu .mdss_dsi_panel_bklt_dcs ID0_status= 0,ID1_status= 0 
0 0   No change in context(0==0), skip 
1214 1214          type=1400 audit(0.0:32): avc: denied { read } for comm="system_server" name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=5788 scontext=u:r:system_server:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0
1214 1214  system_server type=1400 audit(0.0:32): avc: denied { read } for name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=5788 scontext=u:r:system_server:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0 
1214 1214          type=1400 audit(0.0:33): avc: denied { read } for comm="system_server" name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=5788 scontext=u:r:system_server:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0
1214 1214  system_server type=1400 audit(0.0:33): avc: denied { read } for name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=5788 scontext=u:r:system_server:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0 
423 423          type=1400 audit(0.0:34): avc: denied { search } for comm="Binder:423_1" name="vendor" dev="tmpfs" ino=5610 scontext=u:r:vold:s0 tcontext=u:object_r:mnt_vendor_file:s0 tclass=dir permissive=0
423 423  Binder:423_1 type=1400 audit(0.0:34): avc: denied { search } for name="vendor" dev="tmpfs" ino=5610 scontext=u:r:vold:s0 tcontext=u:object_r:mnt_vendor_file:s0 tclass=dir permissive=0 
423 423          type=1400 audit(0.0:34): avc: denied { search } for comm="Binder:423_1" name="vendor" dev="tmpfs" ino=5610 scontext=u:r:vold:s0 tcontext=u:object_r:mnt_vendor_file:s0 tclass=dir permissive=0
423 423  Binder:423_1 type=1400 audit(0.0:34): avc: denied { search } for name="vendor" dev="tmpfs" ino=5610 scontext=u:r:vold:s0 tcontext=u:object_r:mnt_vendor_file:s0 tclass=dir permissive=0 
0 0   acc_open 
0 0   acc_release 
1214 1214          type=1400 audit(0.0:35): avc: denied { read } for comm="system_server" name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=5788 scontext=u:r:system_server:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0
1214 1214  system_server type=1400 audit(0.0:35): avc: denied { read } for name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=5788 scontext=u:r:system_server:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0 
1214 1214          type=1400 audit(0.0:35): avc: denied { read } for comm="system_server" name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=5788 scontext=u:r:system_server:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0
1214 1214  system_server type=1400 audit(0.0:35): avc: denied { read } for name="u:object_r:vendor_default_prop:s0" dev="tmpfs" ino=5788 scontext=u:r:system_server:s0 tcontext=u:object_r:vendor_default_prop:s0 tclass=file permissive=0 
0 0   sdcardfs version 2.0 
0 0  sdcardfs dev_name -> /data/media 
0 0  sdcardfs options -> fsuid=1023,fsgid=1023,multiuser,derive_gid,default_normal,mask=6,userid=0,gid=1015 
0 0  sdcardfs mnt -> ffffffefeafd8720 
0 0  sdcardfs mounted on top of /data/media type ext4 
0 0   Remount options were mask=23,gid=9997 for vfsmnt ffffffefeafd98a0. 
0 0  sdcardfs options - debug:1 
0 0  sdcardfs options - gid:9997 
0 0  sdcardfs options - mask:23 
0 0   Remount options were mask=7,gid=9997 for vfsmnt ffffffef93116560. 
0 0  sdcardfs options - debug:1 
0 0  sdcardfs options - gid:9997 
0 0  sdcardfs options - mask:7 
0 0  wlan loading driver v3.0.11.85 
0 0  msm_vidc info: Opening video instance: 0000000000000000, 1 
0 0  subsys-restart __subsystem_get(): Changing subsys fw_name to venus 
0 0  subsys-pil-tz 1de0000.qcom,venus loading /vendor/firmware_mnt/image/venus.mdt failed with error -13 
0 0  ueventd firmware: loading 'venus.mdt' for '/devices/platform/soc/1de0000.qcom,venus/firmware/venus.mdt' 
0 0  ueventd loading /devices/platform/soc/1de0000.qcom,venus/firmware/venus.mdt took 1ms 
0 0  subsys-pil-tz 1de0000.qcom,venus venus: loading from 0x000000008f000000 to 0x000000008f400000 
0 0  subsys-pil-tz 1de0000.qcom,venus loading /vendor/firmware_mnt/image/venus.b02 failed with error -13 
0 0  ueventd firmware: loading 'venus.b02' for '/devices/platform/soc/1de0000.qcom,venus/firmware/venus.b02' 
0 0  ueventd loading /devices/platform/soc/1de0000.qcom,venus/firmware/venus.b02 took 27ms 
0 0  subsys-pil-tz 1de0000.qcom,venus loading /vendor/firmware_mnt/image/venus.b03 failed with error -13 
0 0  ueventd firmware: loading 'venus.b03' for '/devices/platform/soc/1de0000.qcom,venus/firmware/venus.b03' 
0 0  subsys-pil-tz 1de0000.qcom,venus loading /vendor/firmware_mnt/image/venus.b04 failed with error -13 
0 0  ueventd loading /devices/platform/soc/1de0000.qcom,venus/firmware/venus.b03 took 7ms 
0 0  ueventd firmware: loading 'venus.b04' for '/devices/platform/soc/1de0000.qcom,venus/firmware/venus.b04' 
0 0  ueventd loading /devices/platform/soc/1de0000.qcom,venus/firmware/venus.b04 took 10ms 
0 0  subsys-pil-tz 1de0000.qcom,venus venus: Brought out of reset 
0 0  msm_vidc info: Closed video instance: 0000000000000000 
1591 1591          type=1400 audit(0.0:36): avc: denied { write } for comm="ndroid.settings" name="data" dev="mmcblk0p58" ino=899585 scontext=u:r:system_app:s0 tcontext=u:object_r:system_data_file:s0 tclass=dir permissive=0
1591 1591  ndroid.settings type=1400 audit(0.0:36): avc: denied { write } for name="data" dev="mmcblk0p58" ino=899585 scontext=u:r:system_app:s0 tcontext=u:object_r:system_data_file:s0 tclass=dir permissive=0 
1591 1591          type=1400 audit(0.0:37): avc: denied { write } for comm="ndroid.settings" name="data" dev="mmcblk0p58" ino=899585 scontext=u:r:system_app:s0 tcontext=u:object_r:system_data_file:s0 tclass=dir permissive=0
1591 1591  ndroid.settings type=1400 audit(0.0:37): avc: denied { write } for name="data" dev="mmcblk0p58" ino=899585 scontext=u:r:system_app:s0 tcontext=u:object_r:system_data_file:s0 tclass=dir permissive=0 
0 0  msm_vidc info: Opening video instance: 0000000000000000, 1 
0 0  msm_vidc info: Closed video instance: 0000000000000000 
0 0  msm_vidc info: Opening video instance: 0000000000000000, 1 
0 0  msm_vidc info: Closed video instance: 0000000000000000 
0 0  msm_vidc info: Opening video instance: 0000000000000000, 0 
0 0  msm_vidc info: Closed video instance: 0000000000000000 
0 0  wcnss_wlan a000000.qcom,wcnss-wlan loading /vendor/firmware_mnt/image/wlan/prima/WCNSS_qcom_cfg.ini failed with error -13 
0 0  ueventd firmware: loading 'wlan/prima/WCNSS_qcom_cfg.ini' for '/devices/platform/soc/a000000.qcom,wcnss-wlan/firmware/wlan!prima!WCNSS_qcom_cfg.ini' 
0 0  ueventd loading /devices/platform/soc/a000000.qcom,wcnss-wlan/firmware/wlan!prima!WCNSS_qcom_cfg.ini took 3ms 
0 0  wlan [I :HDD] Enter:hdd_request_firmware 
0 0  wcnss_wlan a000000.qcom,wcnss-wlan loading /vendor/firmware_mnt/image/wlan/prima/WCNSS_qcom_wlan_nv.bin failed with error -13 
0 0  ueventd firmware: loading 'wlan/prima/WCNSS_qcom_wlan_nv.bin' for '/devices/platform/soc/a000000.qcom,wcnss-wlan/firmware/wlan!prima!WCNSS_qcom_wlan_nv.bin' 
0 0  ueventd loading /devices/platform/soc/a000000.qcom,wcnss-wlan/firmware/wlan!prima!WCNSS_qcom_wlan_nv.bin took 0ms 
0 0  wlan [I :HDD] hdd_request_firmware: nv file size = 31723 
0 0  wlan [I :HDD] Exit:hdd_request_firmware 
0 0  wlan [IH:SME] sme_QosOpen: 531: initializing SME-QoS module 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 0 new state=1, old state=0, for AC=0 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 0 new state=1, old state=0, for AC=1 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 0 new state=1, old state=0, for AC=2 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 0 new state=1, old state=0, for AC=3 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 1 new state=1, old state=0, for AC=0 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 1 new state=1, old state=0, for AC=1 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 1 new state=1, old state=0, for AC=2 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 1 new state=1, old state=0, for AC=3 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 2 new state=1, old state=0, for AC=0 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 2 new state=1, old state=0, for AC=1 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 2 new state=1, old state=0, for AC=2 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 2 new state=1, old state=0, for AC=3 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 3 new state=1, old state=0, for AC=0 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 3 new state=1, old state=0, for AC=1 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 3 new state=1, old state=0, for AC=2 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 3 new state=1, old state=0, for AC=3 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 4 new state=1, old state=0, for AC=0 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 4 new state=1, old state=0, for AC=1 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 4 new state=1, old state=0, for AC=2 
0 0  wlan [IH:SME] sme_QosStateTransition: 5886: On session 4 new state=1, old state=0, for AC=3 
0 0  wlan [IH:SME] sme_QosOpen: 591: done initializing SME-QoS module 
0 0  wlan [IL:WDA] =========> WDA_McProcessMsg msgType: 1201 
0 0  wlan [IH:HDD] hdd_set_sme_config bWmmIsEnabled=0 802_11e_enabled=0 dot11Mode=0 
0 0  wlan [ D:SME] SSR level is changed 1 
0 0  wlan [I :SME] sendMgmtPktViaWQ5 is 0 
0 0  wcnss wcnss_get_serial_number: Device serial number: 2714125935 
0 0  rmt_storage INFO:rmt_storage_rw_iovec_cb: Write iovec request received for /boot/modem_fs1 
0 0  rmt_storage INFO:rmt_storage_client_thread: Calling Write [offset=0, size=1572864]for /boot/modem_fs1! 
0 0  rmt_storage INFO:rmt_storage_client_thread: Done Write (bytes = 1572864) for /boot/modem_fs1! 
0 0  wlan WCNSS WLAN version 1.5.1.2 
0 0  wlan WCNSS software version CNSS-PR-4-0-3-0000207 
0 0  wlan WCNSS hardware version WCN v2.0 RadioPhy vIris_TSMC_4.0 with 48MHz XO 
0 0   DefaultCountry is 00 
0 0  wlan_logging_sock_activate_svc Initalizing FEConsoleLog = 1 NumBuff = 32 
0 0  wlan_logging_sock_activate_svc Initalizing Pkt stats pkt_stats_buff = 16 
0 0  wlan driver loaded 
0 0  mdss_dsi_fifo_status status=55551000 
0 0  init Received control message 'start' for 'vendor.move_wifi_data' from pid: 752 (/system/bin/wificond) 
0 0  init Could not ctl.start for service vendor.move_wifi_data: File /system/bin/move_wifi_data.sh(labeled "u:object_r:system_file:s0") has incorrect label or no domain transition from u:r:init:s0 to another SELinux domain defined. Have you configured your service correctly? https://source.android.com/security/selinux/device-policy#label_new_services_and_address_denials 
0 0  init Received control message 'start' for 'wpa_supplicant' from pid: 752 (/system/bin/wificond) 
0 0  init starting service 'wpa_supplicant'... 
0 0  init Created socket '/dev/socket/vendor_wpa_wlan0', mode 660, user 1010, group 1010 
1572 1572          type=1400 audit(0.0:38): avc: denied { read } for comm="m.android.phone" name="tp_info" dev="proc" ino=4026532201 scontext=u:r:radio:s0 tcontext=u:object_r:proc_tpinfo:s0 tclass=file permissive=0
1572 1572  m.android.phone type=1400 audit(0.0:38): avc: denied { read } for name="tp_info" dev="proc" ino=4026532201 scontext=u:r:radio:s0 tcontext=u:object_r:proc_tpinfo:s0 tclass=file permissive=0 
1572 1572          type=1400 audit(0.0:38): avc: denied { read } for comm="m.android.phone" name="tp_info" dev="proc" ino=4026532201 scontext=u:r:radio:s0 tcontext=u:object_r:proc_tpinfo:s0 tclass=file permissive=0
1572 1572  m.android.phone type=1400 audit(0.0:38): avc: denied { read } for name="tp_info" dev="proc" ino=4026532201 scontext=u:r:radio:s0 tcontext=u:object_r:proc_tpinfo:s0 tclass=file permissive=0 
0 0  init Received control message 'interface_start' for 'vendor.qti.hardware.radio.qcrilhook@1.0::IQtiOemHook/oemhook0' from pid: 400 (/system/bin/hwservicemanager) 
0 0  init Could not find service hosting interface vendor.qti.hardware.radio.qcrilhook@1.0::IQtiOemHook/oemhook0 
0 0  IPv6 ADDRCONF(NETDEV_UP): wlan0: link is not ready 
0 0   [00:09:27.663803] [00000000192CAF3D] [wific]  wlan: [E :HDD] wlan_hdd_get_classAstats: Unable to retrieve Class A statistics 
0 0   [00:09:27.663898] [00000000192CB65B] [wific]  wlan: [E :HDD] wlan_hdd_get_classAstats: Unable to retrieve Class A statistics 
0 0   [00:09:27.664024] [00000000192CBFC3] [wific]  wlan: [E :HDD] wlan_hdd_get_classAstats: Unable to retrieve Class A statistics 
0 0   [00:09:27.664049] [00000000192CC1A7] [wific]  wlan: [E :HDD] wlan_hdd_get_classAstats: Unable to retrieve Class A statistics 
0 0   [00:09:27.701696] [000000001937C939] [wpa_s]  wlan: [E :HDD] wlan_hdd_get_classAstats: Unable to retrieve Class A statistics 
0 0   [00:09:27.701827] [000000001937D308] [wpa_s]  wlan: [E :HDD] wlan_hdd_get_classAstats: Unable to retrieve Class A statistics 
0 0   [00:09:27.702879] [00000000193821ED] [wpa_s]  wlan: [E :HDD] wlan_hdd_get_classAstats: Unable to retrieve Class A statistics 
0 0   [00:09:27.703069] [0000000019383025] [wpa_s]  wlan: [E :HDD] wlan_hdd_get_classAstats: Unable to retrieve Class A statistics 
0 0   [00:09:27.706030] [0000000019390E39] [wpa_s]  wlan: [E :HDD] wlan_hdd_get_classAstats: Unable to retrieve Class A statistics 
0 0   [00:09:27.935833] [00000000197C6174] [wpa_s]  wlan: [E :HDD] __wlan_hdd_cfg80211_wifi_configuration_set: 7931: Not in Connected state! 
1408 1408          type=1400 audit(0.0:39): avc: denied { read } for comm="ndroid.systemui" name="real_type" dev="sysfs" ino=33102 scontext=u:r:platform_app:s0:c512,c768 tcontext=u:object_r:sysfs_usb_supply:s0 tclass=file permissive=0
1408 1408  ndroid.systemui type=1400 audit(0.0:39): avc: denied { read } for name="real_type" dev="sysfs" ino=33102 scontext=u:r:platform_app:s0:c512,c768 tcontext=u:object_r:sysfs_usb_supply:s0 tclass=file permissive=0 
1408 1408          type=1400 audit(0.0:39): avc: denied { read } for comm="ndroid.systemui" name="real_type" dev="sysfs" ino=33102 scontext=u:r:platform_app:s0:c512,c768 tcontext=u:object_r:sysfs_usb_supply:s0 tclass=file permissive=0
